views,retweets,quotes,likes,bookmarks,tweet,profile_picture,name,profile_handle,profile_url,tweet_timing,tweet_date,tweet_id,tweet_url
"9,351","1,072",43.8K,9,9,"...Hopefully the Senate will not leave Washington until our Ambassadors, Judges and the people who make Washington work are approved. The Democrats are Obstructing the process and we need these people approved for the good of our Country!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,1:27 PM,"Apr 19, 2018",987065049566138375,https://www.twitter.com/realDonaldTrump/status/987065049566138375
11.4K,"2,480",54.2K,23,23,"“This isn’t some game. You are screwing with the work of the president of the United States.”  John Dowd, March 2018.  With North Korea, China, the Middle East and so much more, there is not much time to be thinking about this, especially since there was no Russian “Collusion.”",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:40 PM,"May 2, 2018",991809653980966913,https://www.twitter.com/realDonaldTrump/status/991809653980966913
"8,881",745,46.1K,19,19,"This spring marks 4yrs since the Phoenix VA crisis. We won't forget what happened to our GREAT VETS. Choice is vital, but the program needs work & is running out of $. Congress must fix Choice Program by Memorial Day so VETS can get the care they deserve. I will sign immediately!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,9:49 AM,"May 3, 2018",992083738531192833,https://www.twitter.com/realDonaldTrump/status/992083738531192833
11.8K,"1,043",69.1K,18,18,"Because Jobs in the U.S. are doing so well, Americans receiving unemployment aid is the lowest since 1973. Great!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:28 AM,"May 4, 2018",992350362450518016,https://www.twitter.com/realDonaldTrump/status/992350362450518016
13.5K,"2,302",63.9K,36,36,"Senator Cryin’ Chuck Schumer fought hard against the Bad Iran Deal, even going at it with President Obama, & then Voted AGAINST it! Now he says I should not have terminated the deal - but he doesn’t really believe that! Same with Comey. Thought he was terrible until I fired him!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,7:30 AM,"May 10, 2018",994585463380987904,https://www.twitter.com/realDonaldTrump/status/994585463380987904
14.7K,"1,366",68.7K,31,31,Iran’s Military Budget is up more than 40% since the Obama negotiated Nuclear Deal was reached...just another indicator that it was all a big lie. But not anymore!,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:02 PM,"May 12, 2018",995424104286179328,https://www.twitter.com/realDonaldTrump/status/995424104286179328
"6,951",611,38K,19,19,"China must continue to be strong & tight on the Border of North Korea until a deal is made. The word is that recently the Border has become much more porous and more has been filtering in. I want this to happen, and North Korea to be VERY successful, but only after signing!",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,4:40 AM,"May 21, 2018",998528928259170305,https://www.twitter.com/realDonaldTrump/status/998528928259170305
11.2K,"2,319",49.3K,29,29,"The Failing @nytimes quotes “a senior White House official,” who doesn’t exist, as saying “even if the meeting were reinstated, holding it on June 12 would be impossible, given the lack of time and the amount of planning needed.” WRONG AGAIN! Use real people, not phony sources.",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,8:21 AM,"May 26, 2018",,https://www.twitter.com/nytimes
"7,976",903,43.6K,12,12,The U.S. has an increased economic value of more than 7 Trillion Dollars since the Election. May be the best economy in the history of our country. Record Jobs numbers. Nice!,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,3:51 AM,"Jun 5, 2018",1003952348962619392,https://www.twitter.com/realDonaldTrump/status/1003952348962619392
"5,750",414,35.6K,16,16,Just left the @G7 Summit in beautiful Canada. Great meetings and relationships with the six Country Leaders especially since they know I cannot allow them to apply large Tariffs and strong barriers to...,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,Donald J. Trump,@realDonaldTrump,https://www.twitter.com/realDonaldTrump,1:56 PM,"Jun 9, 2018",,https://www.twitter.com/G7
